1483228800,964
1483229700,966.15
1483230600,963.545
1483231500,964.133
1483232400,964.133
1483233300,965.855
1483234200,966.798
1483235100,966.75
1483236000,968
1483236900,963.943
1483237800,964.026
1483238700,963.25
1483239600,962
1483240500,957.698
1483241400,960.628
1483242300,960.543
1483243200,966.678
1483244100,961.829
1483245000,960.254
1483245900,962.102
1483246800,961.592
1483247700,963
1483248600,963
1483249500,964.5
1483250400,964.5
1483251300,962.615
1483252200,965.615
1483253100,964.134
1483254000,965
1483254900,964.166
1483255800,968
1483256700,967.8
1483257600,965.615
1483258500,964
1483259400,963.669
1483260300,963.769
1483261200,963.669
1483262100,964.592
1483263000,963.652
1483263900,963.852
1483264800,968
1483265700,971.79
1483266600,972
1483267500,975.261
1483268400,975.25
1483269300,972.759
1483270200,974.758
1483271100,974.51
1483272000,976.301
1483272900,973.196
1483273800,974.791
1483274700,974
1483275600,973
1483276500,971.332
1483277400,975
1483278300,975
1483279200,974.98
1483280100,975
1483281000,975.71
1483281900,976
1483282800,977.5
1483283700,976.3
1483284600,977.062
1483285500,979.154
1483286400,981
1483287300,984.8
1483288200,997.9
1483289100,995.133
1483290000,997.675
1483290900,997.587
1483291800,994.232
1483292700,994.294
1483293600,998
1483294500,999
1483295400,1001
1483296300,996.595
1483297200,996.33
1483298100,997.23
1483299000,999.855
1483299900,999.7
1483300800,1000.9
1483301700,1001.5
1483302600,1001.3
1483303500,1005.85
1483304400,1003.5
1483305300,1003.5
1483306200,1007
1483307100,1006
1483308000,1001
1483308900,1004
1483309800,1005
1483310700,1006
1483311600,1001
1483312500,998.858
1483313400,995.645
1483314300,999.365
1483315200,998.781
1483316100,1000
1483317000,1000
1483317900,1001
1483318800,1000
1483319700,997.184
1483320600,999.184
1483321500,998.79
1483322400,1000.73
1483323300,1000.73
1483324200,1001.41
1483325100,1008.72
1483326000,1013.42
1483326900,1015.8
1483327800,1014.29
1483328700,1013
1483329600,1005.37
1483330500,1013.54
1483331400,1017
1483332300,1016.4
1483333200,1017
1483334100,1017.98
1483335000,1014.79
1483335900,1014.79
1483336800,1014.55
1483337700,1013.99
1483338600,1011.28
1483339500,1013.22
1483340400,1014.66
1483341300,1013.61
1483342200,1013.8
1483343100,1018.93
1483344000,1017.9
1483344900,1013.5
1483345800,1011
1483346700,1014.9
1483347600,1014
1483348500,1012.82
1483349400,1018.54
1483350300,1019.82
1483351200,1021.49
1483352100,1020.1
1483353000,1023.06
1483353900,1024
1483354800,1024.28
1483355700,1029
1483356600,1031.99
1483357500,1033.5
1483358400,1029
1483359300,1028.88
1483360200,1027.81
1483361100,1028.87
1483362000,1028
1483362900,1008.41
1483363800,1016.8
1483364700,1017.2
1483365600,1018.5
1483366500,1020.8
1483367400,1025
1483368300,1025.5
1483369200,1026
1483370100,1028
1483371000,1027.54
1483371900,1028
1483372800,1032.2
1483373700,1031
1483374600,1027
1483375500,1027.2
1483376400,1026.9
1483377300,1026.5
1483378200,1023.76
1483379100,1024.5
1483380000,1024.68
1483380900,1026
1483381800,1024.14
1483382700,1022.68
1483383600,1021.92
1483384500,1019.04
1483385400,1018
1483386300,1013.66
1483387200,998.837
1483388100,1008.26
1483389000,1018.31
1483389900,1024.05
1483390800,1017.96
1483391700,1017
1483392600,1019.96
1483393500,1017
1483394400,1017.5
1483395300,1019.4
1483396200,1025
1483397100,1022
1483398000,1019
1483398900,1018.15
1483399800,1019
1483400700,1019
1483401600,1018.4
1483402500,1023.1
1483403400,1029
1483404300,1027.89
1483405200,1026
1483406100,1026.8
1483407000,1029
1483407900,1028.78
1483408800,1022.15
1483409700,1020
1483410600,1020.78
1483411500,1025
1483412400,1025.51
1483413300,1024.9
1483414200,1027.64
1483415100,1027.91
1483416000,1027.91
1483416900,1029
1483417800,1024.56
1483418700,1027.27
1483419600,1022.1
1483420500,1025
1483421400,1025
1483422300,1023.45
1483423200,1025
1483424100,1022.25
1483425000,1023.42
1483425900,1021
1483426800,1020
1483427700,1020.64
1483428600,1021.77
1483429500,1020.6
1483430400,1021
1483431300,1025
1483432200,1019.6
1483433100,1017
1483434000,1020.71
1483434900,1020
1483435800,1018.95
1483436700,1012.81
1483437600,1013
1483438500,1016
1483439400,1018.18
1483440300,1020
1483441200,1020.24
1483442100,1020.2
1483443000,1018.89
1483443900,1020.44
1483444800,1019.3
1483445700,1020
1483446600,1025
1483447500,1021.5
1483448400,1020.71
1483449300,1020
1483450200,1016.5
1483451100,1018.32
1483452000,1015.1
1483452900,1015
1483453800,1018.35
1483454700,1014.46
1483455600,1016.8
1483456500,1012.24
1483457400,1020.98
1483458300,1018.07
1483459200,1019
1483460100,1018
1483461000,1014.61
1483461900,1015.45
1483462800,1020
1483463700,1018
1483464600,1019.45
1483465500,1020
1483466400,1022
1483467300,1022
1483468200,1022.01
1483469100,1020.49
1483470000,1022
1483470900,1019.49
1483471800,1023.43
1483472700,1023.3
1483473600,1020.83
1483474500,1022
1483475400,1023.38
1483476300,1024.32
1483477200,1027
1483478100,1027
1483479000,1024.28
1483479900,1027.95
1483480800,1027.02
1483481700,1026.9
1483482600,1029
1483483500,1029
1483484400,1032.12
1483485300,1035.97
1483486200,1035.67
1483487100,1037.1
1483488000,1036
1483488900,1043.58
1483489800,1042.72
1483490700,1041.85
1483491600,1039.47
1483492500,1044.44
1483493400,1044.42
1483494300,1043.02
1483495200,1044.81
1483496100,1046
1483497000,1045.15
1483497900,1039.8
1483498800,1045
1483499700,1043.27
1483500600,1045.26
1483501500,1050.57
1483502400,1052.77
1483503300,1052.5
1483504200,1053.4
